comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,human,missing
Human 4 vs openai_gpt_4o_mini,240,0.1548734303368547,55.833333333333336,240,-0.09538002980625997,79.58333333333333,240,0.053046909250328685,70.0,240,-0.019202363367798965,71.25,240,0.0,0.0,openai_gpt_4o_mini,Human 4,0
Human 5 vs openai_gpt_4o_mini,240,0.09468704047055804,50.83333333333333,240,-0.12727272727272732,74.16666666666667,240,0.009433962264150967,62.083333333333336,240,0.02077151335311559,67.91666666666667,240,0.0,0.0,openai_gpt_4o_mini,Human 5,0
Human 1 vs qwen2_5vl_3b,240,-0.004484304932735489,47.5,240,-0.008064516129031366,89.58333333333334,240,-0.01223812487035877,74.58333333333333,240,-0.002105263157894738,0.8333333333333334,240,-0.002326073165574116,1.25,qwen2_5vl_3b,Human 1,0
Human 2 vs qwen2_5vl_3b,240,0.009065613499685826,42.5,240,0.06946688206785091,90.0,240,-0.012231126107127909,75.0,240,0.0022102936532996525,1.25,240,-0.0019023462270133164,1.25,qwen2_5vl_3b,Human 2,0
Human 3 vs qwen2_5vl_3b,240,0.013080931617568979,51.66666666666667,240,0.04944791166586734,86.25,240,0.00015622558975145922,66.66666666666666,240,-0.0012620950778291977,0.8333333333333334,240,0.002184483123106194,1.6666666666666667,qwen2_5vl_3b,Human 3,0
Human 4 vs qwen2_5vl_3b,240,0.010723601584387909,46.666666666666664,240,-0.007905138339922197,92.91666666666667,240,0.00769039940461412,79.16666666666666,240,-0.0019997894958425433,0.8333333333333334,240,-0.0017611835153222956,1.25,qwen2_5vl_3b,Human 4,0
Human 5 vs qwen2_5vl_3b,240,0.009065613499685826,42.5,240,-0.008130081300812542,87.08333333333333,240,-0.012321012321012115,68.33333333333333,240,0.003049742349353245,1.25,240,-0.0016200605761780638,1.25,qwen2_5vl_3b,Human 5,0
Human 1 vs qwen3_vl_4b,240,0.13418745785569797,55.41666666666667,240,0.04166666666666706,80.83333333333333,240,0.00916010837311252,73.33333333333333,240,-0.0662650602409636,75.41666666666667,240,0.03039630627164287,47.5,qwen3_vl_4b,Human 1,0
Human 2 vs qwen3_vl_4b,240,0.09442434825994772,49.583333333333336,240,0.03589743589743551,80.41666666666667,240,0.04213556660560093,74.58333333333333,240,0.034240561896401005,77.08333333333334,240,-0.007140172867343219,44.166666666666664,qwen3_vl_4b,Human 2,0
Human 3 vs qwen3_vl_4b,240,0.024183283835384123,52.083333333333336,240,-0.009009009009008494,76.66666666666667,240,-0.015003524317792538,65.0,240,0.01855468749999978,72.08333333333333,240,-0.01502335563691466,44.166666666666664,qwen3_vl_4b,Human 3,0
